제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
광장,최인훈,장편소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommFreshBookInfo.do?board_id=37&article_id=9398&book_info_id=1,,전후의 문제소설로 평가받는 장편소설. 이데올로기와 사랑이라는 문제에 맞닥뜨려 제 3국을 택했으나 끝내 자살의 길을 택했던 석방포로 이명준. 한 지식인의 외로운 자기 성찰을 밀실과 광장의 대비를 통해 묘사한 작품이다.,중복 제외 (앞 순위 출처에 있음)
당신들의 천국,이청준,장편소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommFreshBookInfo.do?board_id=37&article_id=9398&book_info_id=2,,"1965년 작품 으로 소설 활동을 시작한 중견작가 이청준의 문학전집. 지배와 피지배의 관계를 다룬 중견작가의 장편소설. 나병환자들의 거주지 소록도를 배경으로 소록도 병원장으로 취임한 의사 조백헌과 나환자들과의 미묘한 관계, 정신적 방황과 애환을 실감있게 묘사했다.",중복 제외 (앞 순위 출처에 있음)
나르치스와 골드문트,헤르만 헤세/임홍배,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommFreshBookInfo.do?board_id=37&article_id=9402&book_info_id=5,,"헤르만 헤세의 대표작 『나르치스와 골드문트』. 나르치스와 골드문트가 나눈 사랑과 우정, 이상과 갈등, 방황과 동경 등 인간의 성장기 체험을 아름답고 순수하게 그려낸 소설이다.",포함
토지,박경리,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommFreshBookInfo.do?board_id=37&article_id=9343&book_info_id=19,,"1969년에서 1994년까지 26년 동안 집필되었으며, 200자 원고지 4만여 장에 이르는 방대한 분량의 이 작품은 소설로 쓴 한국근대사라 할 수 있다. 구한말에서 일제 강점기를 거쳐 해방에 이르기까지 수많은 역사적 사건과 민중들의 삶을 고스란히 담아냈다. 평사리의 대지주인 최참판댁의",중복 제외 (앞 순위 출처에 있음)
백석시집,백석/고형진 엮음,시,,발표 시기 미상,http://www.kpipa.or.kr/info/recommFreshBookInfo.do?board_id=37&article_id=26519&book_info_id=8,,,포함
생의 이면,이승우,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommFreshBookInfo.do?board_id=37&article_id=45381&book_info_id=12,,"‘세상은 그의 것이 아니었다. 세상은 그가 아닌 모든 사람의 편이었다.’ 없는 것이나 다름없던 아버지를 부인하고 고향을 버린 뒤 세상과 고통스러운 투쟁을 벌였던 한 소설가의 삶을 그린 소설. 그의 성장기는 무서운 원죄와 미움과 절망에 옥죄이는데, 거기에 희미하게 대항하는 속죄와 사랑과",중복 제외 (앞 순위 출처에 있음)
그리스인 조르바,니코스 카잔차키스/이윤기,장편소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommFreshBookInfo.do?board_id=37&article_id=9348&book_info_id=4,,"현대 그리스 문학을 대표하는 작가 니코스 카잔차키스의 장편소설『그리스인 조르바』. 카잔차키스에게 세계적인 명성을 안겨준 작품으로, 호쾌한 자유인 조르바가 펼치는 영혼의 투쟁을 풍부한 상상력으로 그리고 있다. 주인공인 조르바는 카잔차키스가 자기 삶에 큰 영향을 끼친 사람으로 꼽는 실존 인",포함
백년의 고독,가브리엘 가르시아 마르케스/조구호,장편소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommFreshBookInfo.do?board_id=37&article_id=9397&book_info_id=7,,1982년 노벨문학상 수상작가의 세계적 장편소설. 라틴아메리카 대륙이 겪어야했던 역사의 리얼리티를 소멸 해가는 부엔디아 가문의 운명과 함께 들려주는 작품으로 블랙유머와 패러디를 통해 거센 운명의 역사를 헤 쳐 나가는 인물군상의 역정을 드라마틱하게 그렸다.,포함
