제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
뷔히너의 에 나타난 宿命論의 형상화,박영삼,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900237,,KDC 852,포함
에두아르트 뫼리케의 초.중기 시에 나타난 낭만주의적 총체상의 붕괴와 그 극복의 시도,윤효진,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900238,,KDC 851,포함
開化期 對話體 歌辭硏究,송기한,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900429,,KDC 811,포함
Pantagruel에 나타난 Abstracteur de quintessence적 시도,김승현,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900459,,KDC 863,포함
1930年代 戱曲에 나타난 登場人物의 機能,양승국,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900489,,KDC 812,포함
1930년대 창작방법 논쟁연구,유문선,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900494,,KDC 810,포함
八峯 金基鎭 文學論 硏究,이미순,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900496,,KDC 810,포함
신분갈등 설화의 상황설정과 문제해결 방식,신동흔,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900501,,KDC 813,포함
朴泰遠 小說 硏究,김영숙,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900503,,KDC 813,포함
(The)Canterbury tales에 나타나는 事實提示的인 性格,최예정,시,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900504,,KDC 841,포함
Dombey and son에 나타난 Dickens의 사회비평,조흥근,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900505,,KDC 843,포함
Nathaniel Hawthorne과 Henry James의 Gothic stories 비교 연구,장순복,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900509,,KDC 843,포함
George Eliot의 예술관,이광용,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900510,,KDC 843,포함
한 청년귀족상의 분석을 통하여 본 Balzac의 사회묘사 연구,김은선,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900512,,KDC 863,포함
(The)Scarlet letter에 나타난 리얼리티의 예술적 표현기법연구,신정우,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900513,,KDC 843,포함
Pinter劇의 言語技法에 관하여,김영희,희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900514,,KDC 842,포함
Tristram Shandy에 구현된 긍정적 세계관,승숙인,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/KDM198900515,,KDC 843,포함
