제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
엉망진창 나라의 앨리스,존 켄드릭 뱅스,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=61470&book_info_id=1,,,포함
우리 동네에 놀러 올래?,김민경,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=61470&book_info_id=10,,,포함
용이 되기 싫은 이무기 꽝철이,임정진,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5001&book_info_id=10,,,포함
버스 왔어요!,신옥희,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=10065&book_info_id=10,,,포함
차별의 기억,베벌리 나이두/이경상,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=10065&book_info_id=2,,,포함
천년의 노래 아리랑,오주영,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=28884&book_info_id=3,,,포함
이야기 기차,사키,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5029&book_info_id=10,,,포함
얘들아 너희들의 노래를 불러라,이오덕,시,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=9411&book_info_id=2,,,포함
두더지의 고민,김상근,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=28884&book_info_id=8,,,포함
시를 잊은 그대에게,정재찬,시,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=41367&book_info_id=1,,,포함
체리도둑,박현경,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=45141&book_info_id=10,,,포함
"열일곱, 최소한의 자존심",정연철,단편소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=46999&book_info_id=2,,,포함
새장에 갇힌 새가 왜 노래하는지 나는 아네,마야 안젤루/김욱동,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=18807&book_info_id=1,,,포함
나운규 : 전설로 남은 한국 영화의 풍운아,서경석,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=18807&book_info_id=2,,,포함
세상의 모든 가족,알렉산드라 막사이너,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=23127&book_info_id=4,,,포함
이 소녀는 다르다,J.J. 존슨/ 김미나,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5036&book_info_id=1,,,포함
배꽃마을의 비밀,송언,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5036&book_info_id=10,,,포함
두근두근 백화점,알렉스 쉬어러/ 김호정,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5031&book_info_id=1,,,포함
마고할미 세상을 발칵 뒤집은 날,양혜원,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5042&book_info_id=10,,,포함
일수의 탄생,유은실,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=11635&book_info_id=9,,,포함
너를 위한 50마일,조단 소넨블릭/ 김영선,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5035&book_info_id=1,,,포함
