제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
오래된 비평가의 행복하지 못한 미래? : 한국연극평론가협회 회장직을 마치는 연극평론가 김방옥,노이정 김윤정 노이정,평론,2015,기관 등록 연도,000000093845,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
오룩의 노래 : 정끝별 문학평론집,정끝볕,평론,2013,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000512208,하늘연못,한국문화예술위원회 · 예술자료원-소장자료,포함
오스키 와일드와 살로메,이장욱,평론,2015,기관 등록 연도,000000093891,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
"오이타시 쯔카 코우헤이 극단 <쯔카 코우헤이 특별공연> : 이 시대의 황당함, 이 시대의 소망",김광선,평론,2015,기관 등록 연도,000000097908,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
오태석 연극제 : 영원한 '현재 진행형' 작가가 얻어낸 새로운 지평,장성희,평론,2015,기관 등록 연도,000000102864,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
오태석 연극제 : 오태석의 가치평가와 위상정립,한상철,평론,2015,기관 등록 연도,000000102863,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
오태석 연극제 <도라지> : 냉소적으로 재구성된 개화기,구히서,평론,2015,기관 등록 연도,000000102870,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
오태석 연극제 <자전거>,박해란,평론,2015,기관 등록 연도,000000102868,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
"오태석 작·연출 <천년의 수인> : 가해와 피해, 병든역사에 대한 성찰극",김길수,평론,2015,기관 등록 연도,000000099463,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
오태석의 <앞산아 당겨라 오금아 밀어라>,이상란,평론,2015,기관 등록 연도,000000094910,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
오태석의 <천년의 수인> : 꿰맨 곳이 보인다,김방옥,평론,2015,기관 등록 연도,000000099421,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
오태석의 <천년의 수인> : 포스트 모던 시각에서 '역사 뒤집어 보기',심정순,평론,2015,기관 등록 연도,000000099419,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
오태석의 <천년의 수인> : 현대사의 환부를 절개하는 시공간,서명수,평론,2015,기관 등록 연도,000000099365,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
오태석이 연출한 셰익스피어 연극의 가능성 <로미오와 줄리엣> <멕베스>,김향,평론,2015,기관 등록 연도,000000093551,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
오프 스크린의 미학,이태훈,평론,2015,기관 등록 연도,000000093661,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
오해 : 연극비평집,이진아,평론,2013,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000656218,태학사,한국문화예술위원회 · 예술자료원-소장자료,포함
"오화섭, 여석기 그리고 에릭 벤틀리 : 연극평론가 한상철 선생 10주기",김태원,평론,2020,기관 등록 연도,000000171474,현대미학사,한국문화예술위원회 · 예술자료원-소장자료,포함
"올 가을, 서울에서 열리는 국제연극평론가협회 50주년 기념총회",니시도 고진 이성곤,평론,2015,기관 등록 연도,000000094343,연극과평론,한국문화예술위원회 · 예술자료원-소장자료,포함
올림픽문화축전 하이라이트: 제10회 유럽연극상과 세계연극평론가협회(IACT) 총회,허순자 노이정,평론,2015,기관 등록 연도,000000090452,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
올훼의 죽음 (광주) : 미적 체험의 현장성,김길수,평론,2016,기관 등록 연도,000000119610,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
옴니버스 연극 집중 토론  : <햄릿 프로젝트><바보각시><내게서  멀어지는  것은 작다><브레히트의 하얀동그라미><두타>,김방옥 김미도 김윤철 이화원 최준호 최재훈 서명수 장혜순 우상전 이상우 장혜전 황두진 강만홍 김진나 박재완 손동철 심재민 안숙현 윤현식 이상복 ,평론,2015,기관 등록 연도,000000097257,韓國演劇協會,한국문화예술위원회 · 예술자료원-소장자료,포함
"왜 우리의 비평은 힘있고, 매력적이질 못한가 : 오늘의 비평현장(I)",이강렬 전연희 김시무 김태원,평론,2020,기관 등록 연도,000000175471,현대미학사,한국문화예술위원회 · 예술자료원-소장자료,포함
