제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
한국소설문학상 02 부활무렵,공지영외,소설,2001,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1011264&isbn=8989232171&mid=b30201000000,청어,,포함
소설의 본질,조남현,소설,2018,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1029861&isbn=9791188903016&mid=b30201000000,서정시학,,포함
사소한 이야기의 자유:백지연 평론집,백지연,평론,2018,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030647&isbn=9788936463519&mid=b30201000000,창비,,포함
억울한 남자:곽병창 희곡집,곽병창,희곡,2018,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030648&isbn=9788957866580&mid=b30201000000,연극과인간,,포함
"그림책, 영화를 만나다",김영욱,동화,2010,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1020585&isbn=9788994464343&mid=b30201000000,교보문고,,포함
판타지랜드,"앤더슨, 커트",소설,2018,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031161&isbn=9788984077201&mid=b30201000000,세종서적,,포함
불러줘:반해수 장편 소설,반해수,장편소설,2015,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1021279&isbn=9791131567807&mid=b30201000000,다향,,포함
체호프 희곡 전집,안톤 파블로비치 체호프,희곡,2015,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1018000&isbn=9788952760074&mid=b30201000000,시공사,,포함
늙은 낙타의 일과: 이학성 시집,이학성,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031670&isbn=9788983450616&mid=b30201000000,시와반시,,포함
어떤 숲의 전설,최원현,소설,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031625&isbn=9791160110555&mid=b30201000000,북나비,,포함
보물창고:임민자 수필집,임민자,수필,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031623&isbn=9788956586243&mid=b30201000000,선우미디어,,포함
