초판 연도,장르,제목,저자,글자 수(공백 제외),링크,본문 파일
1889,소설,"Korean Tales: Being a collection of stories translated from the Korean folk lore, together with introductory chapters descriptive of Korea","Allen, Horace Newton",195851,https://www.gutenberg.org/ebooks/55539,본문/pg55539 - Korean Tales Being a collection of stories translated from t.txt
1895,소설,The Red Miriok,"Barnes, Annie Maria",121994,https://www.gutenberg.org/ebooks/34810,본문/pg34810 - The Red Miriok.txt
1905,동화,Our Little Korean Cousin,"Pike, H. Lee M. (Henry Lee Mitchell)",65562,https://www.gutenberg.org/ebooks/12048,본문/pg12048 - Our Little Korean Cousin.txt
1904,소설,"Under the Mikado's flag: or, Young soldiers of fortune","Stratemeyer, Edward",279046,https://www.gutenberg.org/ebooks/71728,"본문/pg71728 - Under the Mikado's flag or, Young soldiers of fortune.txt"
1913,소설,"Korean folk tales: Imps, ghosts and fairies","Im, Pang, Yi, Yuk",202480,https://www.gutenberg.org/ebooks/51002,"본문/pg51002 - Korean folk tales Imps, ghosts and fairies.txt"
1919,소설,Winning Buddha's smile: A Korean legend,,119106,https://www.gutenberg.org/ebooks/78208,본문/pg78208 - Winning Buddha's smile A Korean legend.txt
1922,동화,Korean Fairy Tales,"Griffis, William Elliot",206973,https://www.gutenberg.org/ebooks/67180,본문/pg67180 - Korean Fairy Tales.txt
