제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
할아버지 안녕,김병규,소설,2015,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=22205,,,포함
영국에서 사흘 프랑스에서 나흘,이안 무어,기타,2016,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=39764,,,포함
말의 품격,이기주,기타,2017,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=54953,,,중복 제외 (앞 순위 출처에 있음)
살아 있는 자를 수선하기,마일리스 드 켈랑갈,소설,2017,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=58105,,,포함
마음의 선택,우애령,수필,2015,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=19373,,,포함
완벽한 인생,이동원,소설,2016,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=45641,,,포함
뒤뜰에 골칫거리가 산다,,소설,,발표 시기 미상,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=5571,,,중복 제외 (앞 순위 출처에 있음)
사람으로서 소중한 것,와타나베 가즈코,기타,2015,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=33703,,,포함
참 괜찮은 나,고수산나,소설,2015,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=34888,,,포함
열세 살에 마음부자가 된 키라,보도 섀퍼,소설,2015,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=15917,,,포함
아자젤,아이작 아시모프,소설,2015,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=16881,,,포함
디어 에드워드,앤 나폴리타노,소설,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=97902,,,포함
허수아비 일기,싼마오,수필,2021,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=98697,,,포함
작은 동네,손보미,소설,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=97767,,,중복 제외 (앞 순위 출처에 있음)
만년의 집,강상중,수필,2019,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=95943,,,포함
정도전과 그의 시대,,소설,2014,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=7506,,,포함
나를 위로하는 글쓰기,셰퍼드 코미나스,평론,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=67247,,,포함
사자 사냥꾼 클로이의 끝없는 이야기,맥 바네트,소설,,발표 시기 미상,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=31566,,,포함
내일 : 기욤 뮈소 장편소설,,소설,,발표 시기 미상,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=3729,,,포함
제명공주,이상훈,소설,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=72202,,,포함
보다,,수필,2014,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=11302,,,중복 제외 (앞 순위 출처에 있음)
"오후 세시, 그곳으로부터",,수필,2014,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=13631,,,포함
당신의 4분 33초,이서수,소설,2020,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=97903,,,중복 제외 (앞 순위 출처에 있음)
