제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
연암소설의 심층적 이해,박기석,소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=435,,,포함
천사는 여기 머문다 - 2007년 제31회 이상 문학상 작품집,전경린 외,단편소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=295,,,포함
천국에서 만난 다섯 사람,미치 앨봄,소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=296,,,포함
바리데기,황석영,소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=297,,,중복 제외 (앞 순위 출처에 있음)
굿바이~ 영어 울렁증,김은정,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=428,,,포함
만리장성과 책들,호르헤 루이스 보르헤스,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=431,,,포함
사랑을 찾아 돌아오다,기욤 뮈소,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=508,,,포함
엄마를 부탁해,신경숙,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=509,,,중복 제외 (앞 순위 출처에 있음)
사랑하였으므로 나는 행복하였네 : 한국인이 애송하는 사랑시,"장석남, 김선우 해설 ; 클로이",기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=522,,,포함
공중그네,오쿠다 히데오,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=298,,,포함
견딜 수 없는 사랑은 견디지 마라,서정윤,시,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=299,,,포함
개밥바라기별,황석영,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=510,,,중복 제외 (앞 순위 출처에 있음)
벤자민 버튼의 시간은 거꾸로 간다,F. 스콧 피츠제럴드,동화,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=515,,,포함
가슴으로도 쓰고 손끝으로도 써라,안도현,시,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=540,,,포함
우리말의 문화찾기,천소영,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=330,,,포함
스코르타의 태양,로랑 고데 [,장편소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=331,,,포함
